"Year","Organism","Frequency"
"2013","Achromobacter xylo ss denitrificans",1
"2013","Acinetobacter baumannii complex",4
"2013","Actinobacillus equuli ss equuli",1
"2013","Actinobacillus suis",2
"2013","Aerococcus sp.",2
"2013","Aeromonas hydrophilia",1
"2013","Aeromonas sp.",1
"2013","Alcaligenes faecalis ss faecalis",1
"2013","Alpha strep not suis",1
"2013","Bacillus lentus",1
"2013","Bacillus sp.",15
"2013","Bordetella bronchiseptica",2
"2013","Chronobacter sakazakii Group",1
"2013","Citrobacter koseri",3
"2013","Corynebacterium sp.",21
"2013","Culture Negative",1236
"2013","Enterobacter cloacae complex",6
"2013","Enterococcus faecalis",8
"2013","Enterococcus faecium",5
"2013","Enterococcus gallinarum",1
"2013","Enterococcus sp.",13
"2013","Escherichia coli",50
"2013","Escherichia coli - lactose Culture Negative",1
"2013","Escherichia coli haemolytic",25
"2013","Gramnegative rod",5
"2013","Klebsiella oxytoca",3
"2013","Klebsiella pneumoniae",5
"2013","Leclercia adecarboxylata",3
"2013","Micrococcus sp.",1
"2013","Moraxella sp.",2
"2013","Morganella morgani ss morganii",2
"2013","Morganella morgani ssp sibonii",1
"2013","Neisseria sp.",1
"2013","Neisseria zoodegmatis",3
"2013","Pantoea agglomerans",1
"2013","Pasteurella canis",4
"2013","Pasteurella multocida",7
"2013","Pasteurella pneumotropica",3
"2013","Proteus mirabilis",23
"2013","Proteus sp.",1
"2013","Proteus vulgaris",5
"2013","Providencia rettgeri",1
"2013","Pseudomonas aeruginosa",14
"2013","Pseudomonas alcaligenes",1
"2013","Pseudomonas mendocina",1
"2013","Pseudomonas putida",2
"2013","Pseudomonas stutzeri",1
"2013","Raoultella ornithinolytica",1
"2013","Rothia mucilaginosa",1
"2013","Salmonella sp. Group B",1
"2013","Salmonella sp. Group C2",1
"2013","Serratia marcescens",3
"2013","Sphingobacterium spiritivorum",1
"2013","Sphingomonas paucimobilis",1
"2013","Staphylococcus aur. ss aureus",11
"2013","Staphylococcus coagulase Culture Negative Group",11
"2013","Staphylococcus epidermidis",18
"2013","Staphylococcus pseudintermedius",50
"2013","Staphylococcus sp.",1
"2013","Streptococcus alpha hemolytic",22
"2013","Streptococcus beta group - G",2
"2013","Streptococcus canis",16
"2013","Streptococcus equi ss zooepidemicus",7
"2014","Achromobacter sp.",1
"2014","Achromobacter xylo ss denitrificans",1
"2014","Achromobacter xylo ss xylosoxidans",1
"2014","Acinetobacter baumannii complex",2
"2014","Acinetobacterer sp.",8
"2014","Actinobacillus equuli ss equuli",3
"2014","Actinobacillus suis",5
"2014","Aerococcus sp.",9
"2014","Aeromonas caviae",1
"2014","Aeromonas hydrophilia",1
"2014","Alcaligenes faecalis ss faecalis",2
"2014","Bacillus sp.",31
"2014","Bordetella bronchiseptica",3
"2014","Branhamella ovis",1
"2014","Brevundimonas vesicularis",1
"2014","Burkholderia cepacia group",1
"2014","Citrobacter amalonaticus",1
"2014","Citrobacter freundii",1
"2014","Citrobacter koseri",1
"2014","Corynebacterium renale",1
"2014","Corynebacterium sp.",56
"2014","Cronobacter sakazakii Group",1
"2014","Culture Negative",3604
"2014","Enterobacter aerogenes",4
"2014","Enterobacter asburiae",1
"2014","Enterobacter cancerogenus",1
"2014","Enterobacter cloacae",10
"2014","Enterobacter cloacae complex",10
"2014","Enterococcus avium",2
"2014","Enterococcus durans",2
"2014","Enterococcus faecalis",17
"2014","Enterococcus faecium",11
"2014","Enterococcus gallinarum",1
"2014","Enterococcus hirae",1
"2014","Enterococcus sp.",70
"2014","Escherichia coli",257
"2014","Escherichia coli- lactose neg.",1
"2014","Escherichia fergusonii",2
"2014","Gramnegative organism",4
"2014","Gramnegative rod",7
"2014","Grampositive rod",1
"2014","Haemophilus sp.",1
"2014","Klebsiella oxytoca",2
"2014","Klebsiella pneumoniae",16
"2014","Klebsiella pneumoniae ss pneumoniae",1
"2014","Lactobacillus acidophilus",1
"2014","Mannheimia haemolytica",2
"2014","Micrococcus sp.",7
"2014","Moraxella sp.",4
"2014","Morganella morgani ss morganii",5
"2014","Myroides sp.",1
"2014","Neisseria animaloris",2
"2014","Neisseria sp.",1
"2014","Pantoea agglomerans",5
"2014","Pantoea sp.",4
"2014","Pasteurella canis",19
"2014","Pasteurella multocida",23
"2014","Pasteurella pneumotropica",3
"2014","Pasteurella sp.",7
"2014","Proteus mirabilis",50
"2014","Proteus vulgaris",4
"2014","Providencia rettgeri",2
"2014","Providencia stuartii",1
"2014","Pseudomonas aeruginosa",49
"2014","Pseudomonas alcaligenes",2
"2014","Pseudomonas fluorescens",2
"2014","Pseudomonas sp.",1
"2014","Pseudomonas stutzeri",2
"2014","Rhodococcus equi",3
"2014","Salmonella sp. Group C1",1
"2014","Salmonella sp. Group C2",1
"2014","Salmonella sp. Group E1",8
"2014","Salmonella sp. Group E4",2
"2014","Serratia liquefaciens",1
"2014","Serratia marcescens",5
"2014","Sphingomonas paucimobilis",1
"2014","Staphylococcus aur. ss aureus",29
"2014","Staphylococcus chromogenes",2
"2014","Staphylococcus coagulase Culture Negative Group",100
"2014","Staphylococcus coagulase Positive Group",6
"2014","Staphylococcus hyicus",1
"2014","Staphylococcus pseudintermedius",171
"2014","Staphylococcus schleiferi",1
"2014","Staphylococcus schleiferi ss coagulans",9
"2014","Staphylococcus schleiferi ss schleiferi",1
"2014","Staphylococcus sp.",1
"2014","Staphylococcus sp. coag Culture Negative",1
"2014","Stenotrophomonas maltophilia",4
"2014","Streptococcus alpha hemolytic",59
"2014","Streptococcus beta group - B",6
"2014","Streptococcus beta group - C",3
"2014","Streptococcus beta haemolytic",1
"2014","Streptococcus canis",65
"2014","Streptococcus dys. ss equisimilis",5
"2014","Streptococcus equi ss zooepidemicus",25
"2014","Streptococcus equi ssp equi",6
"2014","Streptococcus non-hemolytic",2
"2014","Streptococcus sp. - non hemolytic",1
"2014","Streptococcus suis V",1
"2014","Trueperella pyogenes",2
"2015","Achromobacter xylo ss denitrificans",1
"2015","Acinetobacterer lwoffi",2
"2015","Acinetobacterer sp.",9
"2015","Actinobacillus equuli ss equuli",5
"2015","Actinobacillus sp.",1
"2015","Actinobacillus suis",3
"2015","Actinobacillus ureae",1
"2015","Actinomyces canis",1
"2015","Aerococcus sp.",1
"2015","Aeromonas hydrophilia",1
"2015","Aeromonas sp.",1
"2015","Bacillus cereus",1
"2015","Bacillus sp.",20
"2015","Bibersteinia trehalosi",2
"2015","Bordetella bronchiseptica",4
"2015","Burkholderia cepacia group",1
"2015","Citrobacter braakii",3
"2015","Citrobacter freundii",3
"2015","Citrobacter koseri",1
"2015","Citrobacter sp.",1
"2015","Coagulase Neative Staphylococcus",1
"2015","Comamonas testosteroni",1
"2015","Corynebacterium auriscanis",1
"2015","Corynebacterium sp.",64
"2015","Culture Negative",3705
"2015","Enterobacter aerogenes",2
"2015","Enterobacter amnigenus",2
"2015","Enterobacter cloacae",19
"2015","Enterobacter cloacae complex",3
"2015","Enterococcus avium",2
"2015","Enterococcus canintestini",2
"2015","Enterococcus canis",1
"2015","Enterococcus faecalis",43
"2015","Enterococcus faecium",18
"2015","Enterococcus sp.",62
"2015","Escherichia coli",250
"2015","Gramnegative rod",17
"2015","Grampositive coccus",1
"2015","Hafnia alvei",1
"2015","Histophilus somni",1
"2015","Klebsiella oxytoca",7
"2015","Klebsiella pneumoniae",22
"2015","Kluyvera ascorbata",1
"2015","Mannheimia haemolytica",2
"2015","Micrococcus luteus",2
"2015","Micrococcus sp.",2
"2015","Moraxella sp.",3
"2015","Morganella morgani ss morganii",3
"2015","Neisseria sp.",1
"2015","Pantoea agglomerans",3
"2015","Pantoea sp.",3
"2015","Pasteurella canis",17
"2015","Pasteurella multocida",13
"2015","Pasteurella pneumotropica",1
"2015","Pasteurella sp.",3
"2015","Pediococcus sp.",1
"2015","Proteus mirabilis",45
"2015","Proteus vulgaris",2
"2015","Providencia rettgeri",1
"2015","Pseudomonas aeruginosa",55
"2015","Pseudomonas sp.",3
"2015","Raoultella ornithinolytica",1
"2015","Raoultella planticola",1
"2015","Rhizobium radiobacter",1
"2015","Rhodococcus equi",2
"2015","Rothia nasimurium",2
"2015","Salmonella sp.",5
"2015","Salmonella sp. Group B",4
"2015","Salmonella sp. Group C1",2
"2015","Salmonella sp. Group C2",1
"2015","Salmonella sp. Group E1",4
"2015","Salmonella sp.(Poly A)",1
"2015","Serratia marcescens",7
"2015","Serratia rubidaea",1
"2015","Staphylococcus aur. ss aureus",23
"2015","Staphylococcus chromogenes",1
"2015","Staphylococcus coagulase Culture Negative Group",56
"2015","Staphylococcus intermedius",4
"2015","Staphylococcus pseudintermedius",228
"2015","Staphylococcus saccharolyticus",1
"2015","Staphylococcus schleiferi",3
"2015","Staphylococcus schleiferi - coag neg",3
"2015","Staphylococcus schleiferi - coag pos",9
"2015","Staphylococcus schleiferi, coagulase positive",2
"2015","Staphylococcus warneri",1
"2015","Stenotrophomonas maltophilia",3
"2015","Streptococcus alpha hemolytic",63
"2015","Streptococcus beta group - B",3
"2015","Streptococcus beta group - C",6
"2015","Streptococcus beta group - G",1
"2015","Streptococcus canis",62
"2015","Streptococcus dys ss dysgalactiae",3
"2015","Streptococcus dys. ss equisimilis",6
"2015","Streptococcus equi ss zooepidemicus",27
"2015","Streptococcus equi ssp equi",6
"2015","Streptococcus non-hemolytic",9
"2015","Streptococcus uberis",2
"2015","Trueperella pyogenes",3
"2016","Acinetobacterer baumannii",2
"2016","Acinetobacterer sp.",3
"2016","Actinobacillus equuli ss equuli",4
"2016","Actinobacillus rossii",1
"2016","Actinobacillus sp.",1
"2016","Actinomyces canis",4
"2016","Actinomyces sp.",1
"2016","Aeromonas hydrophila",1
"2016","Aeromonas hydrophila ss hydrophila",2
"2016","Aeromonas hydrophilia",1
"2016","Aeromonas sobria",1
"2016","Aeromonas veronii",1
"2016","Bacillus cereus",5
"2016","Bacillus licheniformis",3
"2016","Bacillus megaterium",1
"2016","Bacillus simplex",1
"2016","Bacillus sp.",18
"2016","Bacillus thuringiensis",1
"2016","Bergeyella zoohelcum",1
"2016","Bibersteinia trehalosi",2
"2016","Bordetella bronchiseptica",11
"2016","Burkholderia cepacia",1
"2016","Citrobacter braakii",2
"2016","Citrobacter freundii",6
"2016","Citrobacter koseri",1
"2016","Corynebacterium amycolatum",2
"2016","Corynebacterium auriscanis",3
"2016","Corynebacterium pseudotuberculosis",2
"2016","Corynebacterium sp.",70
"2016","Corynebacterium ulcerans",1
"2016","Corynebacterium urealyticum",1
"2016","Culture Negative",3443
"2016","Enterobacter aerogenes",8
"2016","Enterobacter asburiae",1
"2016","Enterobacter cloacae",19
"2016","Enterobacter cloacae complex",1
"2016","Enterobacter ludwigii",2
"2016","Enterobacter sp.",1
"2016","Enterococcus avium",1
"2016","Enterococcus canintestini",1
"2016","Enterococcus faecalis",69
"2016","Enterococcus faecium",31
"2016","Enterococcus sp.",26
"2016","Escherichia coli",266
"2016","Escherichia hermannii",2
"2016","Gallibacterium anatis",1
"2016","Gramnegative Rod",1
"2016","Gramnegative organism",2
"2016","Gramnegative rod",13
"2016","Grampositive organism",1
"2016","Haemophilus haemoglobinophilus",2
"2016","Histophilus somni",3
"2016","Klebsiella oxytoca",12
"2016","Klebsiella pneumoniae",21
"2016","Klebsiella sp.",1
"2016","Leclercia adecarboxylata",1
"2016","Listeria monocytogenes",1
"2016","Mannheimia haemolytica",6
"2016","Methylobacterium sp.",1
"2016","Micrococcus luteus",1
"2016","Micrococcus sp.",2
"2016","Moraxella bovis",2
"2016","Moraxella sp.",2
"2016","Moraxella spp",1
"2016","Morganella morgani ss morganii",3
"2016","Neisseria flavescens",1
"2016","Neisseria sp.",4
"2016","Neisseria weaveri",1
"2016","Neisseria zoodegmatis",1
"2016","Ochrobactrum intermedium",1
"2016","Pantoea agglomerans",2
"2016","Pantoea sp.",4
"2016","Pasteurella canis",6
"2016","Pasteurella dagmatis",2
"2016","Pasteurella multocida",21
"2016","Pasteurella pneumotropica",1
"2016","Pasteurella sp.",1
"2016","Pasteurella stomatis",1
"2016","Proteus mirabilis",56
"2016","Proteus vulgaris",3
"2016","Providencia stuartii",1
"2016","Pseudomonas aeruginosa",71
"2016","Pseudomonas fulva",1
"2016","Pseudomonas koreensis",1
"2016","Pseudomonas putida",2
"2016","Pseudomonas sp.",2
"2016","Pseudomonas stutzeri",2
"2016","Rhizobium radiobacter",1
"2016","Rhodococcus equi",1
"2016","Rothia nasimurium",4
"2016","Salmonella sp.",1
"2016","Salmonella sp. Group B",1
"2016","Salmonella sp. Group C1",1
"2016","Serratia marcescens",12
"2016","Shewanella putrefaciens",1
"2016","Sphingomonas parapaucimobilis",1
"2016","Sphingomonas paucimobilis",3
"2016","Staphylococcus aur. ss aureus",13
"2016","Staphylococcus coagulase Culture Negative Group",67
"2016","Staphylococcus intermedius",3
"2016","Staphylococcus pseudintermedius",253
"2016","Staphylococcus schleiferi",1
"2016","Staphylococcus schleiferi - coag neg",18
"2016","Staphylococcus schleiferi - coag pos",15
"2016","Staphylococcus schleiferi coag neg",1
"2016","Staphylococcus schleiferi coag positive",1
"2016","Staphylococcus sp.",3
"2016","Streptococcus agalactiae",2
"2016","Streptococcus alpha hemolytic",64
"2016","Streptococcus beta group - B",4
"2016","Streptococcus beta group - C",3
"2016","Streptococcus beta haemolytic",1
"2016","Streptococcus canis",71
"2016","Streptococcus dys ss dysgalactiae",3
"2016","Streptococcus dys. ss equisimilis",2
"2016","Streptococcus dysgalact. ss equisimilis",1
"2016","Streptococcus dysgalactiae",3
"2016","Streptococcus equi ss zooepidemicus",24
"2016","Streptococcus equi ssp equi",2
"2016","Streptococcus gp. B",1
"2016","Streptococcus group C",1
"2016","Streptococcus non-hemolytic",13
"2016","Streptococcus pneumoniae",1
"2016","Streptococcus sp.",1
"2016","Streptococcus uberis",2
"2016","Trueperella pyogenes",1
"2017","Achromobacter sp.",1
"2017","Acinetobacterer lwoffi",1
"2017","Acinetobacterer sp.",6
"2017","Actinobacillus equuli ss equuli",5
"2017","Actinobacillus rossii",2
"2017","Actinobacillus sp.",3
"2017","Actinobacillus suis",1
"2017","Actinomyces canis",2
"2017","Actinomyces sp.",3
"2017","Aerococcus viridans",1
"2017","Aeromonas caviae",3
"2017","Aeromonas hydrophila ss hydrophila",1
"2017","Aeromonas media",1
"2017","Aeromonas veronii",2
"2017","Arcanobacterium canis",2
"2017","Avibacterium endocarditidis",1
"2017","Bacillus cereus",6
"2017","Bacillus licheniformis",4
"2017","Bacillus megaterium",1
"2017","Bacillus pumilus",3
"2017","Bacillus sp.",23
"2017","Bacillus subtilis",1
"2017","Bacillus thuringiensis",4
"2017","Bergeyella zoohelcum",1
"2017","Bibersteinia trehalosi",1
"2017","Bordetella bronchiseptica",3
"2017","Canibacter oris",1
"2017","Capnocytophaga ochracea",1
"2017","Chryseobacterium gleum",1
"2017","Citrobacter koseri",7
"2017","Citrobacter sedlakii",3
"2017","Citrobacter sp.",1
"2017","Corynebacterium amycolatum",3
"2017","Corynebacterium auricanis",1
"2017","Corynebacterium auriscanis",9
"2017","Corynebacterium bovis",1
"2017","Corynebacterium diptheriae",1
"2017","Corynebacterium pseudotuberculosis",5
"2017","Corynebacterium sp.",52
"2017","Corynebacterium ulcerans",4
"2017","Culture Negative",3764
"2017","Delftia acidovorans",1
"2017","Eikenella corrodens",2
"2017","Enterobacter aerogenes",9
"2017","Enterobacter asburiae",4
"2017","Enterobacter cloacae",16
"2017","Enterobacter ludwigii",1
"2017","Enterobacter sp.",2
"2017","Enterococcus avium",4
"2017","Enterococcus canintestini",6
"2017","Enterococcus canis",1
"2017","Enterococcus casseliflavus",2
"2017","Enterococcus faecalis",78
"2017","Enterococcus faecium",43
"2017","Enterococcus gallinarum",2
"2017","Enterococcus hirae",4
"2017","Enterococcus sp.",7
"2017","Escherichia coli",260
"2017","Escherichia vulneris",2
"2017","Gramnegative organism",1
"2017","Gramnegative rod",8
"2017","Grampositive coccus",1
"2017","Grampositive organism",1
"2017","Grampositive rod",1
"2017","Haemophilus haemoglobinophilus",4
"2017","Haemophilus sp.",2
"2017","Hafnia alvei",1
"2017","Histophilus somni",2
"2017","Klebsiella oxytoca",7
"2017","Klebsiella pneumoniae",22
"2017","Klebsiella variicola",4
"2017","Kocuria rosea",1
"2017","Kocuria varians",1
"2017","Lactobacillus johnsonii",1
"2017","Lactobacillus reuteri",2
"2017","Lactobacillus salivarius",1
"2017","Lactobacillus sp.",1
"2017","Leclercia adecarboxylata",2
"2017","Leuconostoc lactis",1
"2017","Listeria monocytogenes",1
"2017","Mannheimia haemolytica",1
"2017","Mannheimia varigena",1
"2017","Microbacterium paraoxydans",2
"2017","Micrococcus luteus",4
"2017","Micrococcus sp.",2
"2017","Moraxella bovoculi",1
"2017","Moraxella canis",1
"2017","Moraxella osloensis",1
"2017","Moraxella sp.",4
"2017","Morganella morgani ss morganii",2
"2017","Myroides sp.",1
"2017","Neisseria animaloris",3
"2017","Neisseria sp.",7
"2017","Neisseria weaveri",1
"2017","Neisseria zoodegmatis",2
"2017","Paenibacillus humicus",1
"2017","Pantoea agglomerans",1
"2017","Pantoea sp.",2
"2017","Pasteurella canis",14
"2017","Pasteurella dagmatis",4
"2017","Pasteurella multocida",10
"2017","Pasteurella sp.",2
"2017","Pasteurella stomatis",1
"2017","Pluralibacter gergoviae",1
"2017","Proteus hauseri",2
"2017","Proteus mirabilis",69
"2017","Proteus vulgaris",3
"2017","Providencia rettgeri",3
"2017","Pseudomonas aeruginosa",69
"2017","Pseudomonas fulva",1
"2017","Pseudomonas koreensis",1
"2017","Pseudomonas oryzihabitans",2
"2017","Pseudomonas otitidis",1
"2017","Pseudomonas putida",1
"2017","Pseudomonas sp.",3
"2017","Raoultella ornithinolytica",1
"2017","Raoultella terrigena",1
"2017","Rhodococcus equi",1
"2017","Rothia mucilaginosa",2
"2017","Rothia nasimurium",2
"2017","Rothia sp.",3
"2017","Salmonella sp.",3
"2017","Salmonella sp. Group 18",1
"2017","Salmonella sp. Group C1",1
"2017","Salmonella sp. Group D",1
"2017","Salmonella sp. Group E1",1
"2017","Salmonella sp. Group E4",1
"2017","Salmonella sp.(Poly A)",1
"2017","Serratia marcescens",7
"2017","Shewanella putrefaciens",1
"2017","Sphingomonas paucimobilis",1
"2017","Staphylococcus aur. ss aureus",26
"2017","Staphylococcus aureus",2
"2017","Staphylococcus chromogenes",1
"2017","Staphylococcus coagulase Culture Negative Group",55
"2017","Staphylococcus coagulase Culture Negative sp.",1
"2017","Staphylococcus delphini",2
"2017","Staphylococcus epidermidis",1
"2017","Staphylococcus intermedius",2
"2017","Staphylococcus pseudintermedius",219
"2017","Staphylococcus schleiferi",1
"2017","Staphylococcus schleiferi - coag neg",23
"2017","Staphylococcus schleiferi - coag pos",5
"2017","Staphylococcus schleiferi coagulase Culture Negative",1
"2017","Stenotrophomonas maltophilia",5
"2017","Streptococcus agalactiae",1
"2017","Streptococcus alpha hemolytic",61
"2017","Streptococcus beta group - B",1
"2017","Streptococcus beta group - C",3
"2017","Streptococcus canis",77
"2017","Streptococcus dys ss dysgalactiae",3
"2017","Streptococcus dys. ss equisimilis",1
"2017","Streptococcus dysgalactiae",4
"2017","Streptococcus equi ss zooepidemicus",16
"2017","Streptococcus equi ssp equi",4
"2017","Streptococcus gallolyticus",3
"2017","Streptococcus halichoeri",1
"2017","Streptococcus lutetiensis",1
"2017","Streptococcus lutiensis",1
"2017","Streptococcus minor",2
"2017","Streptococcus non-hemolytic",6
"2017","Streptococcus pneumoniae",1
"2017","Streptococcus sp.",3
"2017","Trueperella pyogenes",13
"2017","Unidentified",1
"2018","Acinetobacterer baumannii",2
"2018","Acinetobacterer junii",1
"2018","Acinetobacterer sp.",1
"2018","Actinobacillus rossii",1
"2018","Actinobacillus sp.",1
"2018","Actinobacillus suis",3
"2018","Actinobacillus ureae",1
"2018","Actinomyces canis",3
"2018","Actinomyces sp.",6
"2018","Aerococcus sp.",1
"2018","Aerococcus viridans",2
"2018","Aeromonas caviae",1
"2018","Aeromonas sp.",1
"2018","Aeromonas veronii",1
"2018","Arcanobacterium canis",2
"2018","Arcanobacterium sp.",6
"2018","Bacillus cereus",6
"2018","Bacillus megaterium",7
"2018","Bacillus mycoides",1
"2018","Bacillus pumilus",1
"2018","Bacillus sp.",17
"2018","Bacillus thuringiensis",1
"2018","Bibersteinia trehalosi",2
"2018","Bordetella bronchiseptica",5
"2018","Brevibacterium sp.",1
"2018","Burkholderia cepacia",1
"2018","Canibacter oris",1
"2018","Capnocytophaga sp.",2
"2018","Citrobacter amalonaticus",1
"2018","Citrobacter freundii",1
"2018","Citrobacter koseri",1
"2018","Corynebacterium amycolatum",3
"2018","Corynebacterium auricanis",1
"2018","Corynebacterium auriscanis",15
"2018","Corynebacterium pseudotuberculosis",1
"2018","Corynebacterium sp.",53
"2018","Culture Negative",3776
"2018","Dermacoccus sp.",1
"2018","Eikenella corrodens",1
"2018","Enterobacter aerogenes",4
"2018","Enterobacter asburiae",3
"2018","Enterobacter cloacae",22
"2018","Enterobacter sp.",2
"2018","Enterococcus avium",3
"2018","Enterococcus canintestini",4
"2018","Enterococcus casseliflavus",2
"2018","Enterococcus durans",1
"2018","Enterococcus faecalis",62
"2018","Enterococcus faecium",40
"2018","Enterococcus hirae",2
"2018","Enterococcus mundtii",2
"2018","Enterococcus sp.",11
"2018","Escherichia coli",287
"2018","Gramnegative cocci",1
"2018","Gramnegative organism",2
"2018","Gramnegative rod",11
"2018","Grampositive coccus",3
"2018","Grampositive organism",1
"2018","Grampositive rod",1
"2018","Haemophilus haemoglobinophilis",1
"2018","Haemophilus haemoglobinophilus",3
"2018","Haemophilus sp.",1
"2018","Klebsiella oxytoca",5
"2018","Klebsiella pneumoniae",11
"2018","Klebsiella sp.",1
"2018","Klebsiella variicola",1
"2018","Kocuria kristinae",1
"2018","Kocuria sp.",1
"2018","Leclercia adecarboxylata",1
"2018","Lelliottia amnigena",1
"2018","Leuconostoc sp.",1
"2018","Lysinibacillus fusiformis",1
"2018","Lysinibacillus sp.",1
"2018","Macrococcus caseolyticus",1
"2018","Mannheimia haemolytica",1
